RecId,Валюта,Дата,Накладная,Внутренняя накладная,Номенклатура,Описание,Количество,Единица измерения,Сумма,Сумма НДС,Поставщик,Наименование поставщика
5637218209.0,RUB,2020-12-22,1644/Кр-20,ВН-021153,000000120,"Сертификация, обследование и аттестация оборуд-я  АУП (ИТР)",0.0,шт,2500.0,0.0,П0005414,"ООО ""Эксперт-Сервис"""
5637218210.0,RUB,2020-12-22,1644/Кр-20,ВН-021153,000000056,"Сертификация, обследование и аттестация оборудования ОГЭ",0.0,шт,5000.0,0.0,П0005414,"ООО ""Эксперт-Сервис"""
5637218211.0,RUB,2020-12-22,1644/Кр-20,ВН-021153,000000062,"Сертификация, обследование и аттестация оборудования ОГМ",0.0,шт,7500.0,0.0,П0005414,"ООО ""Эксперт-Сервис"""
5637218212.0,RUB,2020-12-22,1644/Кр-20,ВН-021153,000000144,"Сертификация, обследование и аттестация оборудования СС",0.0,шт,2500.0,0.0,П0005414,"ООО ""Эксперт-Сервис"""
5637218213.0,RUB,2020-12-22,1644/Кр-20,ВН-021153,000000089,"Сертификация, обследование и аттестация оборудования ОП",0.0,шт,40000.0,0.0,П0005414,"ООО ""Эксперт-Сервис"""
5637218214.0,RUB,2020-12-22,1644/Кр-20,ВН-021153,000000006,"Сертификация, обследование и аттестация оборудования ТЭЦ",0.0,шт,7500.0,0.0,П0005414,"ООО ""Эксперт-Сервис"""
5637218215.0,RUB,2020-12-22,1644/Кр-20,ВН-021153,000000018,"Сертификация, обследование и аттестация оборудования ТС",0.0,шт,17500.0,0.0,П0005414,"ООО ""Эксперт-Сервис"""
5637218216.0,RUB,2020-12-24,",1,  ,",ВН-021154,000000011,Текущий ремонт зданий и сооружений (Автомобильный парк),0.0,шт,303499.0,0.0,П0003161,"ООО ""КубаньЕвроСтрой"""
5637218217.0,RUB,2020-12-25,3244687-КРД,ВН-021155,000001226,Кернер острый,5.0,шт,750.0,150.0,П0003926,"ООО ""ВсеИнструменты.ру"""
5637218218.0,RUB,2020-12-25,3244687-КРД,ВН-021155,109010506,Зубило слесарное 160мм,5.0,шт,612.5,122.5,П0003926,"ООО ""ВсеИнструменты.ру"""
5637218219.0,RUB,2020-12-25,3244690-КРД,ВН-021156,109019843,Фонарь налобный аккумуляторный,8.0,шт,7593.33,1518.67,П0003926,"ООО ""ВсеИнструменты.ру"""
5637218220.0,RUB,2020-12-25,3244690-КРД,ВН-021156,000002351,Органайзер-ящик для инструмента,3.0,шт,2050.0,410.0,П0003926,"ООО ""ВсеИнструменты.ру"""
